plateID,well,cmpdname,CONCuM,cmpdnum
plate_1,D12,6,a,6_a
plate_1,E19,6,c,6_c
plate_1,F03,6,a,6_a
plate_1,J17,6,d,6_d
plate_1,L02,6,b,6_b
plate_1,M15,6,d,6_d
plate_1,N02,6,c,6_c
plate_1,N07,6,b,6_b
plate_1,C16,5,c,5_c
plate_1,H04,5,a,5_a
plate_1,J10,5,c,5_c
plate_1,K14,5,b,5_b
plate_1,L21,5,d,5_d
plate_1,N17,5,b,5_b
plate_1,O08,5,a,5_a
plate_1,O21,5,d,5_d
plate_1,D10,4,b,4_b
plate_1,D19,4,a,4_a
plate_1,E06,4,d,4_d
plate_1,F11,4,b,4_b
plate_1,G20,4,c,4_c
plate_1,I14,4,a,4_a
plate_1,L16,4,c,4_c
plate_1,N20,4,d,4_d
plate_1,B10,3,b,3_b
plate_1,H07,3,d,3_d
plate_1,H19,3,c,3_c
plate_1,I21,3,a,3_a
plate_1,K13,3,d,3_d
plate_1,L17,3,b,3_b
plate_1,M03,3,c,3_c
plate_1,O18,3,a,3_a
plate_1,D08,2,b,2_b
plate_1,F14,2,c,2_c
plate_1,F20,2,d,2_d
plate_1,I04,2,a,2_a
plate_1,I12,2,b,2_b
plate_1,I17,2,c,2_c
plate_1,K17,2,d,2_d
plate_1,L22,2,a,2_a
plate_1,F09,1,b,1_b
plate_1,F15,1,a,1_a
plate_1,G16,1,d,1_d
plate_1,J05,1,d,1_d
plate_1,K03,1,c,1_c
plate_1,L15,1,c,1_c
plate_1,O03,1,b,1_b
plate_1,O17,1,a,1_a
plate_1,H06,"[""1"",""2"",""3"",""4"",""5"",""6""]","[""a"",""a"",""a"",""a"",""a"",""a""]","[""1"",""2"",""3"",""4"",""5"",""6""]_[""a"",""a"",""a"",""a"",""a"",""a""]"
plate_1,H13,"[""1"",""2"",""3"",""4"",""5"",""6""]","[""b"",""b"",""b"",""b"",""b"",""a""]","[""1"",""2"",""3"",""4"",""5"",""6""]_[""b"",""b"",""b"",""b"",""b"",""a""]"
plate_1,J11,"[""1"",""2"",""3"",""4"",""5"",""6""]","[""b"",""b"",""b"",""b"",""b"",""a""]","[""1"",""2"",""3"",""4"",""5"",""6""]_[""b"",""b"",""b"",""b"",""b"",""a""]"
plate_1,J15,"[""1"",""2"",""3"",""4"",""5"",""6""]","[""a"",""a"",""a"",""a"",""a"",""a""]","[""1"",""2"",""3"",""4"",""5"",""6""]_[""a"",""a"",""a"",""a"",""a"",""a""]"
plate_1,E10,"[""1"",""2"",""3"",""4"",""5""]","[""a"",""a"",""a"",""a"",""a""]","[""1"",""2"",""3"",""4"",""5""]_[""a"",""a"",""a"",""a"",""a""]"
plate_1,F13,"[""1"",""2"",""3"",""4"",""5""]","[""b"",""b"",""b"",""b"",""b""]","[""1"",""2"",""3"",""4"",""5""]_[""b"",""b"",""b"",""b"",""b""]"
plate_1,H18,"[""1"",""2"",""3"",""4"",""5""]","[""a"",""a"",""a"",""a"",""a""]","[""1"",""2"",""3"",""4"",""5""]_[""a"",""a"",""a"",""a"",""a""]"
plate_1,M11,"[""1"",""2"",""3"",""4"",""5""]","[""b"",""b"",""b"",""b"",""b""]","[""1"",""2"",""3"",""4"",""5""]_[""b"",""b"",""b"",""b"",""b""]"
plate_1,G04,"[""1"",""2"",""3"",""4"",""6""]","[""b"",""b"",""b"",""b"",""b""]","[""1"",""2"",""3"",""4"",""6""]_[""b"",""b"",""b"",""b"",""b""]"
plate_1,H05,"[""1"",""2"",""3"",""4"",""6""]","[""b"",""b"",""b"",""b"",""b""]","[""1"",""2"",""3"",""4"",""6""]_[""b"",""b"",""b"",""b"",""b""]"
plate_1,H15,"[""1"",""2"",""3"",""4"",""6""]","[""a"",""a"",""a"",""a"",""a""]","[""1"",""2"",""3"",""4"",""6""]_[""a"",""a"",""a"",""a"",""a""]"
plate_1,I03,"[""1"",""2"",""3"",""4"",""6""]","[""a"",""a"",""a"",""a"",""a""]","[""1"",""2"",""3"",""4"",""6""]_[""a"",""a"",""a"",""a"",""a""]"
plate_1,F23,"[""1"",""2"",""3"",""4""]","[""a"",""a"",""a"",""a""]","[""1"",""2"",""3"",""4""]_[""a"",""a"",""a"",""a""]"
plate_1,G06,"[""1"",""2"",""3"",""4""]","[""b"",""b"",""b"",""b""]","[""1"",""2"",""3"",""4""]_[""b"",""b"",""b"",""b""]"
